step,cos,z,f_thumb,f_index,f_middle,clearance_mm,act_absmax
0,0.0004,0.0124,6.161,5.265,0.0,59.54,2.0
1,0.0003,0.0124,3.078,3.642,0.0,59.49,2.0
2,0.0002,0.0124,0.0,3.31,0.0,59.45,2.0
3,0.0002,0.0125,0.0,3.012,0.0,59.42,2.0
4,0.0001,0.0125,0.0,2.542,0.555,59.41,2.0
5,0.0001,0.0125,0.35,2.478,0.606,59.41,2.0
6,0.0,0.0125,0.559,2.603,0.611,59.41,2.0
7,0.0001,0.0125,0.745,2.775,0.541,59.4,2.0
8,0.0001,0.0125,0.919,2.96,0.453,59.4,2.0
9,0.0001,0.0125,1.085,3.142,0.378,59.4,2.0
10,0.0002,0.0125,1.248,3.313,0.337,59.4,2.0
11,0.0002,0.0125,1.412,3.466,0.337,59.4,2.0
12,0.0002,0.0125,1.575,3.558,0.353,59.4,2.0
13,0.0002,0.0125,1.735,3.634,0.364,59.4,2.0
14,0.0002,0.0124,1.892,3.712,0.372,59.4,2.0
15,0.0002,0.0124,2.044,3.799,0.374,59.4,2.0
16,0.0002,0.0124,2.194,3.872,0.377,59.41,2.0
17,0.0001,0.0124,2.339,3.932,0.377,59.41,2.0
18,0.0001,0.0124,2.488,3.952,0.356,59.41,2.0
19,0.0001,0.0124,2.621,3.938,0.359,59.4,2.0
20,0.0001,0.0124,2.753,3.878,0.365,59.4,2.0
21,0.0,0.0124,2.887,3.813,0.375,59.39,2.0
22,-0.0,0.0124,3.005,3.722,0.404,59.38,2.0
23,-0.0001,0.0124,3.12,3.567,0.47,59.37,2.0
24,-0.0012,0.0151,0.961,0.655,0.532,59.4,2.0
25,-0.0009,0.0235,0.734,0.48,0.358,59.42,2.0
26,-0.0001,0.0346,0.782,0.506,0.355,59.42,2.0
27,0.0009,0.0465,0.896,0.559,0.372,59.43,2.0
28,0.0018,0.0587,0.964,0.601,0.394,59.43,2.0
29,0.0028,0.0711,0.994,0.621,0.404,59.44,2.0
30,0.0038,0.0835,1.003,0.627,0.408,59.44,2.0
31,0.0047,0.096,1.006,0.629,0.408,59.45,2.0
32,0.006,0.1051,1.688,0.997,0.747,59.49,2.0
33,0.0072,0.1086,1.423,0.933,0.487,59.53,2.0
34,0.0084,0.1098,1.184,0.814,0.393,59.56,2.0
35,0.0094,0.1102,1.068,0.747,0.356,59.57,2.0
36,0.0104,0.1104,1.017,0.721,0.325,59.58,2.0
37,0.0113,0.1104,0.995,0.705,0.319,59.59,2.0
38,0.0123,0.1103,0.983,0.702,0.307,59.59,2.0
39,0.0132,0.1103,0.977,0.699,0.306,59.6,2.0
40,0.0141,0.1103,0.972,0.695,0.306,59.61,2.0
41,0.015,0.1102,0.969,0.692,0.307,59.61,2.0
42,0.0159,0.1102,0.965,0.689,0.307,59.62,2.0
43,0.0168,0.1101,0.959,0.691,0.299,59.63,2.0
44,0.0176,0.1101,0.957,0.687,0.302,59.63,2.0
45,0.0184,0.11,0.958,0.675,0.315,59.64,2.0
46,0.0193,0.11,0.955,0.672,0.317,59.64,2.0
47,0.0201,0.11,0.949,0.681,0.3,59.65,2.0
48,0.0209,0.1099,0.946,0.679,0.301,59.65,2.0
49,0.0217,0.1099,0.943,0.676,0.301,59.66,2.0
50,0.0225,0.1098,0.941,0.671,0.304,59.66,2.0
51,0.0232,0.1098,0.938,0.668,0.305,59.67,2.0
52,0.024,0.1098,0.936,0.668,0.303,59.68,2.0
53,0.0247,0.1097,0.929,0.664,0.302,59.68,2.0
54,0.0254,0.1097,0.929,0.663,0.303,59.69,2.0
55,0.0261,0.1096,0.93,0.662,0.305,59.69,2.0
56,0.0268,0.1096,0.927,0.661,0.304,59.7,2.0
57,0.0275,0.1096,0.923,0.66,0.301,59.7,2.0
58,0.0398,0.1095,3.419,1.882,1.774,59.74,2.0
59,0.0513,0.1094,3.974,1.89,2.118,59.73,2.0
60,0.0612,0.1094,4.003,1.956,2.038,59.69,2.0
61,0.0711,0.1094,3.959,2.077,1.902,59.63,2.0
